,Cost of Renovation,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,year_since_completion,months_since_last_renovation,months_before_tenancy_lease_expiry,Availability_Now,Availability_Occupied,Condition_Brand New,Condition_For Reno / A&A,Condition_Land Only / For Rebuilding,Condition_Used,Facing_East,Facing_North,Facing_North East,Facing_North South,Facing_North West,Facing_South,Facing_South East,Facing_South West,Facing_West,Floor_high,Floor_low,Floor_mid,Floor_top,Furnishing_Fully Furnished,Furnishing_Partially Furnished,Furnishing_Unfurnished,Landed House Area Zoning_2 Storey Bungalow,Landed House Area Zoning_2 Storey Mixed Landed,Landed House Area Zoning_2 Storey Semi D,Landed House Area Zoning_3 Storey Bungalow,Landed House Area Zoning_3 Storey Mixed Landed,Landed House Area Zoning_3 Storey Semi D,Landed House Area Zoning_GCBA,Landed House Area Zoning_Not Applicable,Landed House Area Zoning_Not in Landed Housing Area,Landed House Area Zoning_Others,Re-wiring/Structural Renovation_No,Re-wiring/Structural Renovation_Yes,District,type,link
8538,0.0,23.0,1.0,19.0,17.5,5.333333333333333,3.0,2.0,2.0,10.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1720000.0,2.0,0.0,1916.0,99.0,276.0,53.0,47.0,48.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D28,condo,https://www.99.co/singapore/condos-apartments/seletar-park-residence
8539,0.0,2.0,1.0,11.0,12.5,3.8,5.666666666666668,2.0,3.0,10.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,525000.0,5.0,2.0,1238.0,99.00001254251805,512.3908145919105,91.0,53.0,44.0,18.744708073176692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D22,hdb,
8540,0.0,1.0,1.0,11.0,9.0,3.5,4.0,2.0,3.0,10.0,10.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,478000.0,2.0,2.0,979.0,98.99999681757917,605.4375155156235,51.0,35.0,38.0,35.60612785680262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D19,hdb,
8541,0.0,3.0,1.0,15.0,16.0,3.7,2.888888888888889,3.0,4.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,700000.0,2.0,3.0,1571.0,99.0,515.5809414650395,40.0,48.0,40.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D16,hdb,https://www.99.co/singapore/hdb/160-bedok-south-avenue-3-adA5ew6AwZF8E3bUNXzNhGMX
8542,0.0,11.0,1.0,64.0,16.25,3.8,5.8,2.0,2.0,10.0,10.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,1600000.0,2.0,3.0,732.0,99.0,508.0,62.0,27.0,15.0,3.0,0.0,-14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D3,condo,https://www.99.co/singapore/condos-apartments/echelon
8543,0.0,7.0,1.0,18.5,19.0,5.0,5.6,2.0,3.0,10.0,10.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,760000.0,1.0,0.0,1205.0,99.00000185567723,433.26259003879045,73.0,33.0,30.0,37.55959515518949,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D4,hdb,
8544,0.0,9.0,1.0,64.0,13.0,5.5,22.0,2.0,2.0,10.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1600000.0,0.0,0.0,861.0,99.0,1129.0,71.0,33.0,26.0,8.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D4,condo,https://www.99.co/singapore/condos-apartments/reflections-at-keppel-bay
8545,0.0,2.0,1.0,16.0,15.0,3.8,4.666666666666667,2.0,4.0,10.0,10.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,600000.0,2.0,1.0,1528.0,99.00000798370046,291.7821760842878,87.0,40.0,48.0,21.06035491140419,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D23,hdb,
8546,0.0,3.0,1.0,64.0,18.25,5.0,6.2,1270.0,3.0,10.0,10.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,1850000.0,1.0,1.0,1081.6710591615856,99999.0,33.0,46.0,31.0,30.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D15,condo,https://www.99.co/singapore/condos-apartments/the-serenno
8547,0.0,6.0,1.0,64.0,172.0,4.1,6.0,2.0,3.0,10.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1930000.0,0.0,0.0,1260.0,99999.0,52.0,73.0,33.0,28.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,D5,condo,https://www.99.co/singapore/condos-apartments/seasuites
