,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
0,,,,D22,North South,,,,,,,,6,1,,18.0,4.0,3.0,https://www.99.co/singapore/hdb/23-teban-gardens-road-adFMfTLUCEb8WhLFs4B5uriT,1.0,1.0,10,5,0,3,,0,1,1,,255000.0,,1.0,506.0,99 Years,,93.0,50.0,43.0,hdb,
1,,,,D19,,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,3.0,3.0,0,0,0,0,,0,0,0,,1081000.0,,,872.0,99 Years,1478,54.0,43.0,42.0,condo,-5
2,,,,D17,North,,,,,,,,23,0,,,,,https://www.99.co/singapore/condos-apartments/the-jovell,1.0,1.0,0,0,0,0,,0,0,0,,588000.0,,,441.0,99 Years,428,37.0,57.0,52.0,condo,-1
3,,,,D02,North South,High,,,,,,,3,1,16.5,14.0,4.3,4.7,https://www.99.co/singapore/hdb/18-cantonment-close-adLoqS48MJPV9QUHLvuV5QGj,2.0,2.0,10,10,2,3,,1,1,1,,720000.0,1.0,,699.0,99 Years,,65.0,30.0,19.0,hdb,17
4,,,,D28,,,Fully Furnished,,,,,,29,1,11.5,10.0,4.857142857142857,7.0,https://www.99.co/singapore/condos-apartments/riverbank-fernvale,1.0,2.0,10,10,6,1,,1,1,0,,858000.0,4.0,1.0,689.0,99 Years,555,49.0,44.0,44.0,condo,2
5,,,,D05,North,,,,,,,,5,1,,16.0,5.1,2.8,,2.0,2.0,10,10,0,5,2.0,1,1,1,,368000.0,,2.0,882.0,,,86.0,41.0,38.0,hdb,
6,,For Reno / A&A,,D18,South,,,3 Storey Semi D,22 May 2007,,,22 May 2019,2,1,,16.0,4.4,6.0,https://www.99.co/singapore/landed/pasir-ris-beach-park-dexPeiy5ftKBcjgeYuxZoRia,5.0,4.0,10,10,0,2,,1,1,0,,4500000.0,2.0,1.0,3742.0,-,,41.0,54.0,46.0,landed,42
7,,,,D11,South West,5,Fully Furnished,,,,S$6200,18 Jan 2019,14,1,11.0,14.75,4.8,5.2,https://www.99.co/singapore/condos-apartments/miro,3.0,3.0,10,10,2,5,4.0,0,1,1,,2980000.0,1.0,,1615.0,Freehold,128,58.0,14.0,20.0,condo,7
8,,,,D28,,,,,,,,,25,1,8.333333333333334,10.5,4.888888888888889,5.333333333333333,https://www.99.co/singapore/condos-apartments/parc-botannia,1.0,1.0,10,10,4,2,,0,1,0,,713000.0,2.0,1.0,506.0,99 Years,735,47.0,43.0,42.0,condo,-2
9,,,,D19,,,,,,,,23 Mar 2020,18,1,15.0,16.25,5.0,5.0,https://www.99.co/singapore/condos-apartments/the-minton,1.0,1.0,10,10,1,4,2.0,0,1,0,,750000.0,,1.0,614.0,99 Years,1145,47.0,41.0,38.0,condo,5
10,,Brand New,,D11,,,,3 Storey Semi D,,Yes,,,19,1,14.0,18.666666666666668,5.777777777777778,6.0,https://www.99.co/singapore/landed/the-whitley-residences-dePncdpEHyu7SXJrCWycaha3,5.0,5.0,10,10,1,3,4.0,0,1,1,1.0,4850000.0,1.0,1.0,2000.0,Freehold,61,60.0,23.0,29.0,landed,2
11,,,,D25,North,,,,,,,,25,1,,18.25,5.75,7.833333333333333,https://www.99.co/singapore/condos-apartments/parc-rosewood,2.0,3.0,10,10,0,5,1.0,0,1,1,1.0,895000.0,4.0,2.0,829.0,99 Years,689,55.0,51.0,59.0,condo,5
12,,,,D12,South,,,,,,,,1,1,,15.0,4.1,3.7,https://www.99.co/singapore/hdb/8-lorong-7-toa-payoh-admgeFiJ3Dy2enYJhJP3geY6,2.0,3.0,10,10,0,4,1.0,0,1,1,1.0,259999.0,1.0,1.0,721.0,99 Years,,74.0,29.0,34.0,hdb,21
13,,,,D10,,,,,,,,,12,0,,,,,https://www.99.co/singapore/condos-apartments/120-grange,2.0,2.0,0,0,0,0,,0,0,0,,1848000.0,,,678.0,Freehold,56,73.0,26.0,27.0,condo,-2
14,,,,D27,,,,,,,,,4,0,,,,,https://www.99.co/singapore/hdb/463a-sembawang-drive-adGtrVDP4HHWv9eHk5BYHeBf,721.0,2.0,0,0,0,0,,0,0,0,,350000.0,,,,99 Years,738,67.0,46.0,52.0,hdb,6
15,,,,D17,North East,02,,,,,,,16,0,,,,,https://www.99.co/singapore/condos-apartments/casa-al-mare,1.0,1.0,0,0,0,0,,0,0,0,,772000.0,,,474.0,Freehold,49,39.0,59.0,51.0,condo,-3
16,,,,D19,North South,,,,,,,,20,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,4.0,4.0,0,0,0,0,,0,0,0,,2422000.0,,,2110.0,99 Years,1478,54.0,43.0,42.0,condo,-5
17,,,,D28,North South,,,3 Storey Mixed Landed,,,,,11,0,,,,,https://www.99.co/singapore/landed/belgravia-green-deekHdQPksFhi3PZBDaBufii,6.0,5.0,0,0,0,0,,0,0,0,,3788330.0,,,3757.0,Freehold,81,54.0,40.0,46.0,landed,-4
18,,,,D05,North,,,,,,S$3900,31 May 2019,16,1,9.0,13.4,5.5,4.0,https://www.99.co/singapore/condos-apartments/the-rochester,2.0,1.0,10,10,2,7,3.0,1,1,1,1.0,1595000.0,,,1281.0,99 Years,334,70.0,26.0,22.0,condo,8
19,,,,D16,,,,,,,,,3,1,,17.333333333333332,4.0,4.5,https://www.99.co/singapore/hdb/122-bedok-reservoir-road-adW6t9tBKBRXF6sYRWsDxggD,2.0,3.0,10,10,0,4,,0,1,0,,490000.0,1.0,1.0,1108.0,99 Years,,42.0,37.0,32.0,hdb,32
20,,,,D26,South West,,,3 Storey Mixed Landed,,,,,2,1,,,4.8,,https://www.99.co/singapore/landed/lentor-view-deq4PaBUD7RGkU8k8jJZzvcC,3.0,4.0,10,7,0,0,,0,1,0,,3380000.0,1.0,,2675.0,Freehold,142,78.0,48.0,53.0,landed,27
21,,,,D19,North West,,,2 Storey Mixed Landed,,,,,4,1,15.0,,5.571428571428571,8.5,https://www.99.co/singapore/landed/tivoli-gardens-dehkFGXTNWQKRsHhPRtQ9r9V,4.0,5.0,10,10,1,0,3.0,0,1,0,,1950000.0,,1.0,2164.0,99 Years,59,49.0,42.0,32.0,landed,20
22,,,,D25,,,,,,,,,13,1,16.0,15.5,4.1,7.1,https://www.99.co/singapore/condos-apartments/la-casa,2.0,2.0,10,10,1,4,,0,1,0,,688000.0,4.0,4.0,980.0,99 Years,444,67.0,51.0,57.0,condo,11
23,,,,D11,South,,,3 Storey Bungalow,,,,,9,0,,,,,,5.0,6.0,0,0,0,0,,0,0,0,,12330000.0,,,6016.0,,,,,,landed,
24,,,,D01,,,,,,,S$5400,01 Dec 2020,27,1,10.333333333333334,11.333333333333334,4.5,1.8,https://www.99.co/singapore/condos-apartments/the-sail-marina-bay,3.0,3.0,10,10,6,3,,1,1,1,,2650000.0,,,1313.0,99 Years,1111,51.0,17.0,5.0,condo,11
25,,,,D05,,,,,,,,,3,1,,17.75,4.3,4.333333333333333,,2.0,2.0,10,10,0,5,2.0,1,1,1,,350000.0,,2.0,882.0,,,89.0,45.0,41.0,hdb,
26,,,,D15,,,,,,,,,14,1,,25.0,4.5,,https://www.99.co/singapore/condos-apartments/the-waterside,5.0,4.0,10,4,0,1,1.0,0,1,0,,4050000.0,,,2400.0,Freehold,502,54.0,36.0,29.0,condo,26
27,,,,D19,,,,,,,,,4,1,16.125,17.4,5.5,4.5,https://www.99.co/singapore/hdb/207a-punggol-place-adpbQZrSQukwiMFJ4vKGR5UQ,2.0,3.0,10,10,8,5,1.0,0,1,0,,488000.0,5.0,3.0,990.0,99 Years,,49.0,41.0,40.0,hdb,
28,,,,D18,,,,,,,,,2,1,13.0,16.0,4.9,5.0,,1.0,2.0,10,10,2,4,,0,1,0,,370000.0,5.0,4.0,796.0,,,32.0,43.0,35.0,hdb,
29,,,,D18,North,,,,,,,,16,1,11.0,18.5,5.5,6.5,https://www.99.co/singapore/condos-apartments/nv-residences,3.0,3.0,10,10,1,3,,1,1,1,1.0,1265000.0,3.0,1.0,1270.0,99 Years,642,31.0,50.0,48.0,condo,6
30,,,,,,,,Others,,,,,6,1,24.0,14.0,6.0,6.0,https://www.99.co/singapore/landed/phillips-residence-deQMGHmqXghxXLvuf4ftdwF5,5.0,4.0,10,10,1,2,,0,1,0,,2800000.0,1.0,2.0,4078.0,999 Years,6,56.0,43.0,44.0,landed,11
31,,,,D17,,,Fully Furnished,,,,,,9,1,,,4.2,5.0,https://www.99.co/singapore/condos-apartments/ballota-park-condominium,3.0,3.0,10,6,0,0,,0,1,0,,1300000.0,1.0,1.0,1421.0,Freehold,365,36.0,55.0,49.0,condo,19
32,,,,D28,South East,,,3 Storey Mixed Landed,,,S$3200,31 Jan 2022,10,1,16.0,17.5,6.6,8.0,https://www.99.co/singapore/landed/mugliston-hill-deC8FW8PtYGincsdXHbGmFAY,3.0,3.0,10,10,3,3,,0,1,0,,2600000.0,3.0,1.0,1848.0,Freehold,,58.0,49.0,49.0,landed,49
33,,,,D10,,,Partially Furnished,,,,,,3,1,,15.0,6.0,5.5,https://www.99.co/singapore/condos-apartments/holland-court,1940.0,3.0,10,10,1,2,,0,1,0,,3500000.0,,,,Freehold,22,68.0,23.0,27.0,condo,9
34,,,,D22,North South,,,,,,,,3,0,,,,,https://www.99.co/singapore/hdb/207a-boon-lay-place-addPr9UYwZLbRmHJK4Z7JySR,2.0,2.0,0,0,0,0,,0,0,0,,240000.0,,,700.0,99 Years,,90.0,53.0,44.0,hdb,45
35,,,,D19,,,,,,,,,1,1,10.0,,3.6,3.8,,2.0,2.0,10,10,1,4,,0,1,1,1.0,360000.0,2.0,3.0,686.0,,,49.0,31.0,31.0,hdb,
36,,,,D01,,,,,,,,,22,1,10.333333333333334,11.333333333333334,4.5,1.8,https://www.99.co/singapore/condos-apartments/the-sail-marina-bay,2.0,2.0,10,10,6,3,,1,1,1,,1800000.0,,,883.0,99 Years,1111,51.0,17.0,5.0,condo,11
37,,,,D19,North West,,,,,,,,16,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,2.0,3.0,0,0,0,0,,0,0,0,,1159000.0,,,915.0,99 Years,1478,54.0,43.0,42.0,condo,-5
38,,,,D19,North East,,Partially Furnished,,,,,,17,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,1410.0,4.0,0,0,0,0,,0,0,0,,1600000.0,,,,99 Years,1478,54.0,43.0,42.0,condo,-5
39,,,,D22,,,,,,,,,2,1,16.5,17.8,4.777777777777778,5.333333333333333,https://www.99.co/singapore/hdb/270-toh-guan-road-ad4tGdeaPSFuMemabtiNNAqB,2.0,3.0,10,10,2,5,,0,1,1,,550000.0,2.0,4.0,1303.0,99 Years,,83.0,36.0,41.0,hdb,21
40,,,,D02,,,,,,,,,20,0,,,,,https://www.99.co/singapore/condos-apartments/sky-everton,2.0,3.0,0,0,0,0,,0,0,0,,2392000.0,,,958.0,Freehold,262,64.0,23.0,16.0,condo,-4
41,,,,D21,,,,,,,,,19,1,13.0,11.0,5.111111111111111,,https://www.99.co/singapore/condos-apartments/springdale-condominium,1152.0,3.0,10,10,1,1,,1,1,1,,1390000.0,,,,999 Years,480,79.0,33.0,41.0,condo,21
42,,,,D18,South,,,,,,,,1,1,14.0,13.333333333333334,6.0,7.5,,2.0,3.0,10,10,1,4,1.0,1,1,1,,400000.0,5.0,4.0,1108.0,,,29.0,53.0,47.0,hdb,
43,,,,D05,,,Partially Furnished,,,,,,6,1,14.0,18.2,5.1,5.7,https://www.99.co/singapore/condos-apartments/the-clement-canopy,2.0,2.0,10,10,1,8,3.0,1,1,1,,1300000.0,,2.0,710.0,99 Years,505,82.0,40.0,36.0,condo,-1
44,,,,D14,,,Fully Furnished,,,,,,23,1,27.0,31.0,5.875,5.6,https://www.99.co/singapore/condos-apartments/vacanza-east,1.0,1.0,10,10,1,2,,0,1,0,,740000.0,3.0,2.0,560.0,Freehold,473,46.0,44.0,38.0,condo,5
45,,,,D18,,,Partially Furnished,,,,,,9,1,,17.0,5.166666666666667,7.0,https://www.99.co/singapore/condos-apartments/waterview,2.0,2.0,10,10,0,1,,1,1,0,,880000.0,,2.0,786.0,99 Years,696,36.0,38.0,43.0,condo,5
46,,,,D13,North,,,,,,,,18,1,7.0,,3.4,5.5,https://www.99.co/singapore/condos-apartments/sennett-residence,5.0,6.0,10,10,2,1,2.0,0,1,1,1.0,5662469.0,1.0,2.0,4209.0,99 Years,338,58.0,21.0,20.0,condo,2
47,,,,D10,North South,,,,,,,,21,1,14.5,16.0,,10.0,https://www.99.co/singapore/condos-apartments/casabella,2.0,2.0,10,5,2,1,2.0,0,1,0,1.0,1850000.0,2.0,,990.0,Freehold,82,72.0,32.0,37.0,condo,14
48,,,,D18,,,,,,,,,22,1,,13.0,4.4,6.0,https://www.99.co/singapore/condos-apartments/vue-8-residence,4.0,5.0,10,10,0,2,,0,1,0,1.0,2600000.0,3.0,1.0,2691.0,99 Years,463,40.0,54.0,46.0,condo,2
49,,,,D03,,,,,,,,,2,1,,15.75,4.6,4.2,https://www.99.co/singapore/hdb/118d-jalan-membina-adFRBsUSt3VNwgyvB6WJhyjF,2.0,3.0,10,10,1,7,3.0,1,1,1,,680000.0,3.0,1.0,969.0,99 Years,,63.0,21.0,16.0,hdb,16
50,,,,D22,,,,,,,,,5,1,14.0,16.4,4.285714285714286,6.0,https://www.99.co/singapore/hdb/281-toh-guan-road-admq5pH95ChQeq3t8iVsf7r5,2.0,3.0,10,10,1,5,,0,1,1,,700000.0,1.0,3.0,1302.0,99 Years,,81.0,34.0,39.0,hdb,21
51,,,,D01,,,,,,,,,16,1,12.5,16.0,4.2,2.2,https://www.99.co/singapore/condos-apartments/robinson-suites,1.0,1.0,10,10,7,5,,1,1,1,,1306800.0,,,484.0,Freehold,167,52.0,24.0,6.0,condo,5
52,,,,D19,South West,,,2 Storey Mixed Landed,,,,,6,1,18.0,15.2,5.0,5.666666666666667,https://www.99.co/singapore/landed/verdana-villas-de9xSe3Z5PGiifRpBG4jsmfK,6.0,5.0,10,10,1,5,1.0,0,1,1,1.0,3200000.0,1.0,1.0,4456.0,Freehold,54,54.0,38.0,39.0,landed,6
53,,,,D03,,,Partially Furnished,,,,,,13,1,,14.5,3.3,4.0,https://www.99.co/singapore/condos-apartments/artra,2.0,2.0,10,10,1,4,2.0,1,1,1,,1729400.0,2.0,3.0,829.0,99 Years,400,61.0,25.0,13.0,condo,-2
54,,,,D20,,,Partially Furnished,,,,,,4,1,10.0,14.0,3.9,4.0,https://www.99.co/singapore/hdb/588d-ang-mo-kio-street-52-adxgpLGMLpV49W8mwKcEhA5,2.0,3.0,10,10,1,4,,1,1,1,,868000.0,3.0,2.0,1280.0,99 Years,,59.0,26.0,31.0,hdb,
55,,,,D22,,,,,,,,,5,1,13.0,18.0,4.4,5.5,https://www.99.co/singapore/hdb/309-jurong-east-street-32-adukBYgbjp7BKtgWqtUQ55Md,1420.0,3.0,10,10,1,4,1.0,0,1,0,,570000.0,3.0,4.0,,99 Years,,88.0,42.0,44.0,hdb,35
56,,,,D18,North South,,Unfurnished,,,,,,1,1,17.0,14.0,3.8,4.75,https://www.99.co/singapore/hdb/706-tampines-street-71-adhzjfVu8mEiWrBBcQH8yDKb,2.0,3.0,10,10,1,7,1.0,1,1,1,,490000.0,1.0,2.0,1291.0,99 Years,,35.0,52.0,44.0,hdb,22
57,,,,D13,North South,,,,,,,,13,0,,,,,https://www.99.co/singapore/condos-apartments/the-tre-ver,3.0,3.0,0,0,0,0,,0,0,0,,1538000.0,,,1087.0,99 Years,729,73.0,31.0,37.0,condo,-3
58,,,,D14,,,Unfurnished,,,,,,3,1,14.333333333333334,17.0,4.5,5.7,https://www.99.co/singapore/condos-apartments/treasures-g19,450.0,1.0,10,10,3,4,2.0,0,1,1,,670000.0,,,,Freehold,27,48.0,29.0,21.0,condo,4
59,,,,D19,North East,,,,,,,,3,1,,15.5,4.0,4.0,,2.0,3.0,10,10,0,6,1.0,0,1,0,,640000.0,3.0,3.0,1475.0,,,52.0,41.0,46.0,hdb,
60,,,,D03,North,,,,,,,,21,1,,16.5,4.0,5.285714285714286,https://www.99.co/singapore/condos-apartments/queens-peak,5.0,5.0,10,10,1,5,,0,1,0,,3123000.0,2.0,2.0,2002.0,99 Years,736,63.0,25.0,15.0,condo,-1
61,,,,D23,,,,,,,,,1,1,11.0,12.0,3.0,5.0,,3.0,4.0,10,10,3,2,1.0,0,1,1,,560000.0,3.0,,1572.0,,,79.0,39.0,50.0,hdb,
62,,,,D13,,,,,,,,,12,0,,,,,https://www.99.co/singapore/condos-apartments/the-tre-ver,2.0,2.0,0,0,0,0,,0,0,0,,1109000.0,,,700.0,99 Years,729,73.0,31.0,37.0,condo,-3
63,,,,D27,South,,,,,,,,6,1,14.0,15.142857142857142,4.6,4.0,https://www.99.co/singapore/hdb/347b-yishun-avenue-11-adn7cmZmuasvv2qS79S9Td3Y,2.0,3.0,10,10,1,7,,1,1,1,,539000.0,4.0,4.0,990.0,99 Years,,58.0,42.0,47.0,hdb,6
64,,,,D12,North,,,,,,,,2,1,10.5,16.0,5.1,4.75,https://www.99.co/singapore/hdb/54-geylang-bahru-adkA2Wsmq7L3YfSkKXuJHQ75,2.0,3.0,10,10,2,3,2.0,0,1,1,,570000.0,1.0,2.0,1227.0,99 Years,,48.0,26.0,27.0,hdb,45
65,,,,D07,North West,,,,,,,,2,1,12.0,13.25,2.9,3.6,https://www.99.co/singapore/hdb/233-bain-street-adqksZup2kQF9wmzhH6GAJxV,1.0,3.0,10,10,7,6,1.0,1,1,1,,778000.0,1.0,,883.0,-,,46.0,19.0,17.0,hdb,
66,,,,D10,,,,,,,,,24,1,10.0,12.0,5.125,6.0,https://www.99.co/singapore/condos-apartments/cyan,4.0,3.0,10,6,1,2,4.0,0,1,0,1.0,7877232.0,1.0,,2949.0,Freehold,278,61.0,17.0,26.0,condo,5
67,,,,D18,,,Unfurnished,3 Storey Mixed Landed,,,,,6,1,,16.0,4.4,6.0,https://www.99.co/singapore/landed/pasir-ris-beach-park-dexPeiy5ftKBcjgeYuxZoRia,3.0,4.0,10,10,0,2,,1,1,0,,4398000.0,2.0,1.0,4007.0,-,,41.0,54.0,46.0,landed,42
68,,,,D10,,,,,,,,,16,1,14.0,13.0,4.3,2.0,https://www.99.co/singapore/condos-apartments/3-orchard-bythepark,3.0,4.0,10,10,1,6,,0,1,1,,7702000.0,,,2260.0,Freehold,77,54.0,13.0,29.0,condo,2
69,,,,D16,,,,,,,,,1,1,,13.4,5.1,5.6,,635.0,2.0,10,10,1,6,2.0,0,1,1,,245000.0,2.0,2.0,,,,30.0,39.0,31.0,hdb,
70,,,,D10,,,,2 Storey Semi D,,,,,8,1,,19.666666666666668,4.1,5.285714285714286,https://www.99.co/singapore/landed/mcmahon-park-de488Z25DEuHgA2CWa93EPdn,5.0,6.0,10,10,0,4,,0,1,1,,8720000.0,1.0,,4011.0,999 Years,,74.0,23.0,35.0,landed,
71,,,,D10,North South,,Unfurnished,,,,,,13,1,29.0,18.5,4.9,3.4,https://www.99.co/singapore/condos-apartments/glentrees,3.0,4.0,10,10,1,3,,0,1,1,,3900000.0,1.0,,3412.0,999 Years,176,72.0,26.0,36.0,condo,14
72,,,,D20,South,,,,,,,,22,1,,16.666666666666668,5.1,6.2,https://www.99.co/singapore/condos-apartments/the-panorama,2.0,2.0,10,10,0,3,1.0,1,1,0,,1260000.0,2.0,2.0,797.0,99 Years,698,68.0,35.0,40.0,condo,0
73,,,,D25,,,,,,,,,3,1,,13.0,4.4,4.3,,2.0,5.0,10,10,1,3,,0,1,0,,730000.0,2.0,2.0,1905.0,,,65.0,47.0,52.0,hdb,
74,,,,D18,,,,,,,,,9,1,,17.0,5.166666666666667,7.0,https://www.99.co/singapore/condos-apartments/waterview,2.0,2.0,10,10,0,1,,1,1,0,,798000.0,,2.0,786.0,99 Years,696,36.0,38.0,43.0,condo,5
75,,,,D18,,Mid,,,,,,,20,1,,14.5,3.6666666666666665,6.4,https://www.99.co/singapore/condos-apartments/arc-at-tampines,2.0,3.0,10,10,0,2,,0,1,0,,1200000.0,,3.0,1076.0,99 Years,574,35.0,38.0,42.0,condo,5
