,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
76,,,,D16,North,,,,,,,,12,1,,10.0,4.4,8.125,https://www.99.co/singapore/condos-apartments/waterfront-gold,2.0,2.0,10,10,0,4,1.0,1,1,0,,1050000.0,2.0,2.0,893.0,99 Years,361,35.0,39.0,40.0,condo,5
77,,,,D18,North East,11,,,,,,,9,1,13.0,14.0,6.111111111111111,4.0,https://www.99.co/singapore/condos-apartments/dnest,2.0,3.0,10,10,1,2,,1,1,1,,1085000.0,2.0,1.0,936.0,99 Years,912,32.0,49.0,41.0,condo,2
78,,,,D03,,,,,,,,,4,1,17.0,14.0,6.1,5.5,,1.0,3.0,10,10,3,3,,1,1,0,,320000.0,1.0,1.0,742.0,,,70.0,25.0,22.0,hdb,
79,,,,D09,,,,,,,,,17,1,10.0,12.666666666666666,4.7,2.4,https://www.99.co/singapore/condos-apartments/visioncrest,2.0,2.0,10,10,3,4,1.0,1,1,1,,2050000.0,2.0,,915.0,Freehold,265,49.0,13.0,13.0,condo,12
80,,,,D25,South,,Partially Furnished,,,,,,1,1,,,5.0,4.333333333333333,https://www.99.co/singapore/hdb/37-marsiling-drive-ad9bGtceSGWbA6MxaynEqm9D,2.0,3.0,10,7,0,1,,1,1,0,,355000.0,,2.0,1302.0,99 Years,,83.0,55.0,65.0,hdb,42
81,,,,D15,North,,,,,,,,19,0,,,,,https://www.99.co/singapore/condos-apartments/olloi,2.0,3.0,0,0,0,0,,0,0,0,,1890000.0,,,1184.0,Freehold,34,42.0,36.0,28.0,condo,-3
82,,,,D19,,,,,,,,,8,1,12.6,11.666666666666666,5.6,6.166666666666667,https://www.99.co/singapore/condos-apartments/watertown,1195.0,3.0,10,10,8,5,,1,1,0,,1700000.0,4.0,2.0,,99 Years,992,45.0,37.0,36.0,condo,2
83,,,,D19,North East,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,1.0,2.0,0,0,0,0,,0,0,0,,774000.0,,,603.0,99 Years,1478,54.0,43.0,42.0,condo,-5
84,,,,D25,,,,,,,,,3,1,11.0,10.333333333333334,4.4,5.6,,3.0,5.0,10,10,2,5,,0,1,1,,680000.0,3.0,3.0,1980.0,,,67.0,36.0,52.0,hdb,
85,,,,D23,,,,,,,,,13,1,10.0,12.0,4.2,3.3,https://www.99.co/singapore/condos-apartments/the-madeira,3.0,3.0,10,10,2,4,,1,1,1,,1180000.0,3.0,2.0,1270.0,99 Years,456,77.0,42.0,39.0,condo,16
86,,,,D23,,,,,,,,,12,1,12.75,14.333333333333334,5.5,5.0,https://www.99.co/singapore/condos-apartments/cashew-heights-condominium,2.0,3.0,10,10,5,3,3.0,0,1,0,,1700000.0,2.0,1.0,1200.0,999 Years,596,79.0,37.0,44.0,condo,27
87,,,,D11,,,,,,,,,1,0,,,,,https://www.99.co/singapore/condos-apartments/dunearn-386,1.0,2.0,0,0,0,0,,0,0,0,,1500000.0,,,560.0,Freehold,,61.0,21.0,26.0,condo,
88,,,,D12,North East,13,,,,,S$2000,31 Mar 2020,15,1,,15.333333333333334,4.6,4.1,https://www.99.co/singapore/condos-apartments/okio,1.0,1.0,10,10,0,5,3.0,0,1,1,,748888.0,,1.0,420.0,Freehold,104,62.0,18.0,26.0,condo,4
89,,,,D19,,,,,,,,,3,1,12.0,9.5,4.4,4.0,https://www.99.co/singapore/hdb/292b-compassvale-street-admGfCcq74kf3tCfaRwwrdZD,2.0,2.0,10,10,5,2,1.0,0,1,1,,460000.0,6.0,3.0,1184.0,99 Years,,39.0,40.0,39.0,hdb,17
90,,,,D09,North,,Fully Furnished,,,,,,12,1,10.0,13.25,5.5,3.7,https://www.99.co/singapore/condos-apartments/suites-at-orchard,1.0,1.0,10,10,5,5,1.0,1,1,1,,1299999.0,1.0,,559.0,99 Years,118,47.0,11.0,11.0,condo,5
91,,,,D28,South,,,,,,S$2200,28 Jun 2018,21,1,19.0,17.5,5.333333333333333,3.0,https://www.99.co/singapore/condos-apartments/seletar-park-residence,2.0,2.0,10,10,1,3,,0,1,0,,1000000.0,2.0,,840.0,99 Years,276,53.0,47.0,48.0,condo,4
92,,,,D02,South,12,,,,,S$3300,05 Aug 2018,23,1,14.5,17.333333333333332,4.1,4.9,https://www.99.co/singapore/condos-apartments/spottiswoode-suites,2.0,2.0,10,10,2,3,,1,1,1,,1500000.0,1.0,,667.0,Freehold,183,63.0,23.0,19.0,condo,2
93,,,,D19,North West,,,,,,,,20,0,,,,,https://www.99.co/singapore/condos-apartments/the-garden-residences,1.0,1.0,0,0,0,0,,0,0,0,,685600.0,,,452.0,99 Years,613,66.0,42.0,43.0,condo,-2
94,,,,D15,North East,,,3 Storey Mixed Landed,,,,,3,0,,,,,,9.0,4.0,0,0,0,0,,0,0,0,,7700000.0,,,5335.0,,,,,,landed,
95,,,,D15,North South,,,,,,,,14,1,17.0,24.0,4.375,7.0,https://www.99.co/singapore/condos-apartments/the-line-tanjong-rhu,2.0,3.0,10,4,1,1,1.0,0,1,0,,2058000.0,,1.0,1055.0,Freehold,130,51.0,34.0,27.0,condo,3
96,,,,D16,North South,,,,,,,,16,1,,14.333333333333334,4.3,7.333333333333333,https://www.99.co/singapore/condos-apartments/waterfront-key,3.0,3.0,10,10,0,5,1.0,1,1,0,,1550000.0,2.0,2.0,1462.0,99 Years,437,35.0,39.0,39.0,condo,7
97,,For Reno / A&A,,D15,North West,,,3 Storey Mixed Landed,,,,,8,0,,,,,,4.0,4.0,0,0,0,0,,0,0,0,,2860000.0,,,1918.0,,,,,,landed,
98,,,,D19,,,,,,,,,1,1,11.5,10.0,4.1,5.0,https://www.99.co/singapore/hdb/312a-anchorvale-lane-adph7vStyZAiE3GvF7FjAqoM,2.0,3.0,10,10,5,1,1.0,1,1,1,,410000.0,3.0,1.0,1194.0,99 Years,,52.0,42.0,42.0,hdb,17
99,,,,D28,North,,,3 Storey Mixed Landed,24 Apr 2019,No,,,2,0,,,,,https://www.99.co/singapore/landed/belgravia-green-deekHdQPksFhi3PZBDaBufii,4.0,5.0,0,0,0,0,,0,0,0,,2700000.0,,,3132.0,Freehold,81,54.0,40.0,46.0,landed,-4
100,,,,D04,,,Partially Furnished,,,,,,11,1,,13.0,5.5,,https://www.99.co/singapore/condos-apartments/reflections-at-keppel-bay,2.0,2.0,10,10,1,1,,0,1,0,,1866545.0,,,1324.0,99 Years,1129,71.0,33.0,26.0,condo,8
