,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
0,Now,,,D22,North South,,,,,,,,6,1,,18.0,4.0,3.0,https://www.99.co/singapore/hdb/23-teban-gardens-road-adFMfTLUCEb8WhLFs4B5uriT,1.0,1.0,10,5,0,3,,0,1,1,,255000.0,,1.0,506.0,99 Years,,93.0,50.0,43.0,hdb,
1,14 Feb 2023,,,D19,,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,3.0,3.0,0,0,0,0,,0,0,0,,1081000.0,,,872.0,99 Years,1478,54.0,43.0,42.0,condo,-5
2,,,,D28,,,Fully Furnished,,,,,,29,1,11.5,10.0,4.857142857142857,7.0,https://www.99.co/singapore/condos-apartments/riverbank-fernvale,1.0,2.0,10,10,6,1,,1,1,0,,858000.0,4.0,1.0,689.0,99 Years,555,49.0,44.0,44.0,condo,2
3,Now,,,D05,North,,,,,,,,5,1,,16.0,5.1,2.8,,2.0,2.0,10,10,0,5,2.0,1,1,1,,368000.0,,2.0,882.0,,,86.0,41.0,38.0,hdb,
4,Now,,,D11,South West,5,Fully Furnished,,,,S$6200,18 Jan 2019,14,1,11.0,14.75,4.8,5.2,https://www.99.co/singapore/condos-apartments/miro,3.0,3.0,10,10,2,5,4.0,0,1,1,,2980000.0,1.0,,1615.0,Freehold,128,58.0,14.0,20.0,condo,7
5,Now,Brand New,,D11,,,,3 Storey Semi D,,Yes,,,19,1,14.0,18.666666666666668,5.777777777777778,6.0,https://www.99.co/singapore/landed/the-whitley-residences-dePncdpEHyu7SXJrCWycaha3,5.0,5.0,10,10,1,3,4.0,0,1,1,1.0,4800000.0,1.0,1.0,2000.0,Freehold,61,60.0,23.0,29.0,landed,2
6,Now,,,D25,North,,,,,,,,25,1,,18.25,5.75,7.833333333333333,https://www.99.co/singapore/condos-apartments/parc-rosewood,2.0,3.0,10,10,0,5,1.0,0,1,1,1.0,895000.0,4.0,2.0,829.0,99 Years,689,55.0,51.0,59.0,condo,5
7,Now,,,D12,South,,,,,,,,1,1,,15.0,4.1,3.7,https://www.99.co/singapore/hdb/8-lorong-7-toa-payoh-admgeFiJ3Dy2enYJhJP3geY6,2.0,3.0,10,10,0,4,1.0,0,1,1,1.0,259999.0,1.0,1.0,721.0,99 Years,,74.0,29.0,34.0,hdb,21
8,26 Jun 2022,,,D03,North South,8,,,,,,,26,0,,,,,https://www.99.co/singapore/condos-apartments/stirling-residences,1.0,1.0,0,0,0,0,,0,0,0,,850000.0,,,441.0,99 Years,1259,66.0,27.0,19.0,condo,-3
9,Now,,,D27,,,,,,,,,4,0,,,,,https://www.99.co/singapore/hdb/463a-sembawang-drive-adGtrVDP4HHWv9eHk5BYHeBf,721.0,2.0,0,0,0,0,,0,0,0,,350000.0,,,,99 Years,738,67.0,46.0,52.0,hdb,6
10,Now,,,D17,North East,02,,,,,,,16,0,,,,,https://www.99.co/singapore/condos-apartments/casa-al-mare,1.0,1.0,0,0,0,0,,0,0,0,,772000.0,,,474.0,Freehold,49,39.0,59.0,51.0,condo,-3
11,,,,D23,,,,,,,,,0,1,11.75,13.0,4.5,2.0,https://www.99.co/singapore/landed/cashew-green-dea9uoyCJSLtVexp4NZmVnNb,5.0,4.0,10,10,5,2,3.0,0,1,0,,3800000.0,2.0,1.0,1918.0,-,,72.0,34.0,42.0,landed,
12,Now,,,D19,North South,,,,,,,,20,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,4.0,4.0,0,0,0,0,,0,0,0,,2422000.0,,,2110.0,99 Years,1478,54.0,43.0,42.0,condo,-5
13,01 Jan 2025,,,D21,,,,,,,,,12,0,,,,,https://www.99.co/singapore/condos-apartments/mayfair-gardens,2.0,2.0,0,0,0,0,,0,0,0,,1482000.0,,,753.0,99 Years,215,67.0,26.0,32.0,condo,-5
14,Now,,,D19,North South,11,,,,,,30 Dec 2018,30,1,11.0,15.5,4.6,7.0,https://www.99.co/singapore/condos-apartments/riversound-residence,4.0,4.0,10,10,3,4,,1,1,0,,1500000.0,3.0,3.0,1421.0,99 Years,590,48.0,43.0,42.0,condo,4
15,01 Jan 2022,,,D11,,,,,,,,,11,0,,,,,https://www.99.co/singapore/condos-apartments/fyve-derbyshire,1.0,2.0,0,0,0,0,,0,0,0,,1430000.0,,,592.0,Freehold,71,63.0,17.0,22.0,condo,-3
16,Now,,,D18,South West,,Fully Furnished,,,,,,18,1,11.0,14.5,4.5,5.0,https://www.99.co/singapore/condos-apartments/eastpoint-green,3.0,3.0,10,10,1,4,,0,1,1,,970000.0,1.0,1.0,1184.0,99 Years,684,36.0,44.0,36.0,condo,21
17,,,,D26,South West,,,3 Storey Mixed Landed,,,,,2,1,,,4.8,,https://www.99.co/singapore/landed/lentor-view-deq4PaBUD7RGkU8k8jJZzvcC,3.0,4.0,10,7,0,0,,0,1,0,,3380000.0,1.0,,2675.0,Freehold,142,78.0,48.0,53.0,landed,27
18,Now,,,D18,,,Partially Furnished,,,,,,25,1,,24.0,3.9,5.75,https://www.99.co/singapore/condos-apartments/coco-palms,4.0,4.0,10,10,1,3,,1,1,1,,1750000.0,3.0,1.0,1378.0,99 Years,944,29.0,46.0,38.0,condo,0
19,17 Sep 2019,,,D23,,,,,,,,,4,0,,,,,https://www.99.co/singapore/hdb/460-segar-road-ad5Mqu8bVmLMxyHzxacHQ3g4,2.0,2.0,0,0,0,0,,0,0,0,,370000.0,,,731.0,99 Years,,80.0,36.0,46.0,hdb,8
20,Now,,,D19,North West,,,2 Storey Mixed Landed,,,,,4,1,15.0,,5.571428571428571,8.5,https://www.99.co/singapore/landed/tivoli-gardens-dehkFGXTNWQKRsHhPRtQ9r9V,4.0,5.0,10,10,1,0,3.0,0,1,0,,1950000.0,,1.0,2164.0,99 Years,59,49.0,42.0,32.0,landed,20
21,Now,,,D28,South,,,,,,,,2,1,10.5,,4.6,4.5,https://www.99.co/singapore/hdb/453a-fernvale-road-aduFdbme6Sb93M8vZdSJmKvd,1.0,1.0,10,10,4,2,,0,1,0,,260000.0,2.0,1.0,495.0,99 Years,321,47.0,46.0,46.0,hdb,
22,Now,,,D25,,,,,,,,,13,1,16.0,15.5,4.1,7.1,https://www.99.co/singapore/condos-apartments/la-casa,2.0,2.0,10,10,1,4,,0,1,0,,688000.0,4.0,4.0,980.0,99 Years,444,67.0,51.0,57.0,condo,11
23,Now,,,D11,South,,,3 Storey Bungalow,,,,,9,0,,,,,,5.0,6.0,0,0,0,0,,0,0,0,,12330000.0,,,6016.0,,,,,,landed,
24,Now,,,D05,,,,,,,,,3,1,,17.75,4.3,4.333333333333333,,2.0,2.0,10,10,0,5,2.0,1,1,1,,350000.0,,2.0,882.0,,,89.0,45.0,41.0,hdb,
25,Now,,,D15,,,,,,,,,14,1,,25.0,4.5,,https://www.99.co/singapore/condos-apartments/the-waterside,5.0,4.0,10,4,0,1,1.0,0,1,0,,4050000.0,,,2400.0,Freehold,502,54.0,36.0,29.0,condo,26
26,01 Oct 2019,,,D18,,,,,,,,,2,1,13.0,16.0,4.9,5.0,,1.0,2.0,10,10,2,4,,0,1,0,,370000.0,5.0,4.0,796.0,,,32.0,43.0,35.0,hdb,
27,Now,,,D18,North,,,,,,,,16,1,11.0,18.5,5.5,6.5,https://www.99.co/singapore/condos-apartments/nv-residences,3.0,3.0,10,10,1,3,,1,1,1,1.0,1265000.0,3.0,1.0,1270.0,99 Years,642,31.0,50.0,48.0,condo,6
28,Now,,,D02,,,,,,,,,17,1,15.0,15.333333333333334,4.7,5.0,https://www.99.co/singapore/condos-apartments/spottiswoode-18,2.0,1.0,10,10,2,3,,1,1,1,,2550000.0,1.0,,1293.0,Freehold,251,63.0,23.0,19.0,condo,4
29,01 Feb 2022,,,D28,South East,,,3 Storey Mixed Landed,,,S$3200,31 Jan 2022,10,1,16.0,17.5,6.6,8.0,https://www.99.co/singapore/landed/mugliston-hill-deC8FW8PtYGincsdXHbGmFAY,3.0,3.0,10,10,3,3,,0,1,0,,2600000.0,3.0,1.0,1848.0,Freehold,,58.0,49.0,49.0,landed,49
30,Now,,,D19,,,,,,,,,1,1,10.0,,3.6,3.8,,2.0,2.0,10,10,1,4,,0,1,1,1.0,360000.0,2.0,3.0,686.0,,,49.0,31.0,31.0,hdb,
31,Now,,,D03,North,,,,,,,,11,1,13.0,16.142857142857142,4.5,5.5,https://www.99.co/singapore/condos-apartments/alessandrea,3.0,3.0,10,10,2,8,2.0,1,1,1,,1820000.0,3.0,1.0,1098.0,Freehold,105,68.0,29.0,23.0,condo,15
32,Now,,,D01,,,,,,,,,22,1,10.333333333333334,11.333333333333334,4.5,1.8,https://www.99.co/singapore/condos-apartments/the-sail-marina-bay,2.0,2.0,10,10,6,3,,1,1,1,,1800000.0,,,883.0,99 Years,1111,51.0,17.0,5.0,condo,11
33,Now,,,D19,North East,,Partially Furnished,,,,,,17,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,1410.0,4.0,0,0,0,0,,0,0,0,,1600000.0,,,,99 Years,1478,54.0,43.0,42.0,condo,-5
34,Now,Brand New,,D21,South West,,Partially Furnished,2 Storey Bungalow,17 Mar 2009,Yes,,,14,1,,17.5,7.666666666666667,6.0,https://www.99.co/singapore/landed/hong-kong-park-deiboQYD8bjJSmEcXejiU7Gc,4.0,5.0,10,8,1,3,2.0,0,1,0,,7300000.0,,,3400.0,999 Years,,68.0,28.0,33.0,landed,
35,,,,D04,,,,,,,,,0,1,,86.0,,,https://www.99.co/singapore/landed/the-berthside-de5yJosSZqZSTgezwN5PhJua,4.0,5.0,0,1,0,2,,0,0,0,,6800000.0,,,2357.0,99 Years,8,106.0,67.0,61.0,landed,13
36,Now,,,D04,,,,,,,,,10,1,10.0,11.0,5.222222222222222,,https://www.99.co/singapore/condos-apartments/the-foresta-mount-faber,1.0,1.0,10,10,2,1,,1,1,0,,950000.0,1.0,,431.0,Freehold,141,71.0,31.0,24.0,condo,5
37,Now,,,D22,,,,,,,,,2,1,16.5,17.8,4.777777777777778,5.333333333333333,https://www.99.co/singapore/hdb/270-toh-guan-road-ad4tGdeaPSFuMemabtiNNAqB,2.0,3.0,10,10,2,5,,0,1,1,,550000.0,2.0,4.0,1303.0,99 Years,,83.0,36.0,41.0,hdb,21
38,Now,,,D02,,,,,,,,,20,0,,,,,https://www.99.co/singapore/condos-apartments/sky-everton,2.0,3.0,0,0,0,0,,0,0,0,,2392000.0,,,958.0,Freehold,262,64.0,23.0,16.0,condo,-4
39,Now,,,D21,,,,,,,,,19,1,13.0,11.0,5.111111111111111,,https://www.99.co/singapore/condos-apartments/springdale-condominium,1152.0,3.0,10,10,1,1,,1,1,1,,1390000.0,,,,999 Years,480,79.0,33.0,41.0,condo,21
40,Now,,,D10,,,,,,,,,2,1,17.5,17.0,4.7,4.0,https://www.99.co/singapore/hdb/3-ghim-moh-road-adRsby8KgZ5VUq4ooN6RGBjU,2.0,2.0,10,10,2,6,,0,1,1,1.0,300000.0,1.0,,700.0,99 Years,,74.0,28.0,31.0,hdb,43
41,Now,,,D18,South,,,,,,,,1,1,14.0,13.333333333333334,6.0,7.5,,2.0,3.0,10,10,1,4,1.0,1,1,1,,400000.0,5.0,4.0,1108.0,,,29.0,53.0,47.0,hdb,
42,,,,D10,,,Partially Furnished,,,,,,0,1,18.5,17.0,,10.666666666666666,https://www.99.co/singapore/landed/victoria-park-villas-deeVBHz66fvrZRfaUWoPLkSa,6.0,6.0,10,10,2,1,2.0,0,1,0,1.0,3870000.0,2.0,1.0,2283.0,99 Years,109,68.0,28.0,33.0,landed,1
43,Now,,,D05,,,Partially Furnished,,,,,,6,1,14.0,18.2,5.1,5.7,https://www.99.co/singapore/condos-apartments/the-clement-canopy,2.0,2.0,10,10,1,8,3.0,1,1,1,,1300000.0,,2.0,710.0,99 Years,505,82.0,40.0,36.0,condo,-1
44,Now,,,D14,,,Fully Furnished,,,,,,23,1,27.0,31.0,5.875,5.6,https://www.99.co/singapore/condos-apartments/vacanza-east,1.0,1.0,10,10,1,2,,0,1,0,,740000.0,3.0,2.0,560.0,Freehold,473,46.0,44.0,38.0,condo,5
45,Now,,,D18,,,Partially Furnished,,,,,,9,1,,17.0,5.166666666666667,7.0,https://www.99.co/singapore/condos-apartments/waterview,2.0,2.0,10,10,0,1,,1,1,0,,880000.0,,2.0,786.0,99 Years,696,36.0,38.0,43.0,condo,5
46,01 Mar 2022,,,D18,North South,,,,,,,,22,1,,13.5,5.777777777777778,7.0,https://www.99.co/singapore/condos-apartments/the-tapestry,1.0,2.0,10,10,0,2,1.0,0,1,0,,796000.0,,3.0,603.0,99 Years,861,40.0,51.0,47.0,condo,-2
47,Now,,,D18,,,,,,,,,22,1,,13.0,4.4,6.0,https://www.99.co/singapore/condos-apartments/vue-8-residence,4.0,5.0,10,10,0,2,,0,1,0,1.0,2600000.0,3.0,1.0,2691.0,99 Years,463,40.0,54.0,46.0,condo,2
48,Now,,,D03,,,,,,,,,2,1,,15.75,4.6,4.2,https://www.99.co/singapore/hdb/118d-jalan-membina-adFRBsUSt3VNwgyvB6WJhyjF,2.0,3.0,10,10,1,7,3.0,1,1,1,,680000.0,3.0,1.0,969.0,99 Years,,63.0,21.0,16.0,hdb,16
49,Now,,,D22,,,,,,,,,5,1,14.0,16.4,4.285714285714286,6.0,https://www.99.co/singapore/hdb/281-toh-guan-road-admq5pH95ChQeq3t8iVsf7r5,2.0,3.0,10,10,1,5,,0,1,1,,700000.0,1.0,3.0,1302.0,99 Years,,81.0,34.0,39.0,hdb,21
50,01 Aug 2022,,,D14,South,03,,,,,,,7,0,,,,,https://www.99.co/singapore/condos-apartments/rezi-24,1.0,2.0,0,0,0,0,,0,0,0,,862300.0,,,549.0,Freehold,110,49.0,30.0,22.0,condo,-3
51,,,,D19,South West,,,2 Storey Mixed Landed,,,,,6,1,18.0,15.2,5.0,5.666666666666667,https://www.99.co/singapore/landed/verdana-villas-de9xSe3Z5PGiifRpBG4jsmfK,6.0,5.0,10,10,1,5,1.0,0,1,1,1.0,3200000.0,1.0,1.0,4456.0,Freehold,54,54.0,38.0,39.0,landed,6
52,Now,,,D03,,,Partially Furnished,,,,,,13,1,,14.5,3.3,4.0,https://www.99.co/singapore/condos-apartments/artra,2.0,2.0,10,10,1,4,2.0,1,1,1,,1729400.0,2.0,3.0,829.0,99 Years,400,61.0,25.0,13.0,condo,-2
53,Now,,,D22,,,,,,,,,5,1,13.0,18.0,4.4,5.5,https://www.99.co/singapore/hdb/309-jurong-east-street-32-adukBYgbjp7BKtgWqtUQ55Md,1420.0,3.0,10,10,1,4,1.0,0,1,0,,570000.0,3.0,4.0,,99 Years,,88.0,42.0,44.0,hdb,35
54,Now,,,D18,North South,,Unfurnished,,,,,,1,1,17.0,14.0,3.8,4.75,https://www.99.co/singapore/hdb/706-tampines-street-71-adhzjfVu8mEiWrBBcQH8yDKb,2.0,3.0,10,10,1,7,1.0,1,1,1,,490000.0,1.0,2.0,1291.0,99 Years,,35.0,52.0,44.0,hdb,22
55,30 Sep 2019,,,D23,,,,,,,,,1,1,11.0,12.0,3.0,5.0,,3.0,4.0,10,10,3,2,1.0,0,1,1,,560000.0,3.0,,1572.0,,,79.0,39.0,50.0,hdb,
56,,,,D23,,,,,,,,,20,1,15.0,,4.4,6.0,https://www.99.co/singapore/condos-apartments/inz-residence,2.0,2.0,10,10,1,1,1.0,0,1,0,,680000.0,2.0,,689.0,99 Years,497,85.0,40.0,53.0,condo,0
57,Now,,,D27,South,,,,,,,,6,1,14.0,15.142857142857142,4.6,4.0,https://www.99.co/singapore/hdb/347b-yishun-avenue-11-adn7cmZmuasvv2qS79S9Td3Y,2.0,3.0,10,10,1,7,,1,1,1,,539000.0,4.0,4.0,990.0,99 Years,,58.0,42.0,47.0,hdb,6
58,,,,D27,,,,,,,,,0,1,,11.0,4.4,3.5,,2.0,2.0,10,10,0,3,,1,1,0,,299000.0,3.0,2.0,796.0,,,60.0,43.0,48.0,hdb,
59,01 Dec 2023,,,D3,South East,,,,,,,,7,0,,,,,https://www.99.co/singapore/condos-apartments/one-pearl-bank,3.0,3.0,0,0,0,0,,0,0,0,,,,,1141.0,99 Years,774,59.0,20.0,11.0,condo,-4
60,Now,,,D19,South West,,Partially Furnished,Others,,,,,2,0,,,,,,3.0,5.0,0,0,0,0,,0,0,0,,3800000.0,,,4300.0,,,,,,landed,
61,,,,D18,,,Unfurnished,3 Storey Mixed Landed,,,,,6,1,,16.0,4.4,6.0,https://www.99.co/singapore/landed/pasir-ris-beach-park-dexPeiy5ftKBcjgeYuxZoRia,3.0,4.0,10,10,0,2,,1,1,0,,4398000.0,2.0,1.0,4007.0,-,,41.0,54.0,46.0,landed,42
62,Now,,,D10,,,,,,,,,16,1,14.0,13.0,4.3,2.0,https://www.99.co/singapore/condos-apartments/3-orchard-bythepark,3.0,4.0,10,10,1,6,,0,1,1,,7702000.0,,,2260.0,Freehold,77,54.0,13.0,29.0,condo,2
63,01 Nov 2019,,,D02,,,,,,,,,21,1,14.5,17.333333333333332,4.1,4.9,https://www.99.co/singapore/condos-apartments/spottiswoode-suites,786.0,3.0,10,10,2,3,,1,1,1,,1818000.0,1.0,,,Freehold,183,63.0,23.0,19.0,condo,2
64,Now,,,D16,South,,,,,,,,1,1,22.0,12.5,5.142857142857143,6.625,,2.0,4.0,10,10,1,4,2.0,0,1,1,,698000.0,1.0,2.0,1539.0,,,46.0,48.0,40.0,hdb,
65,Now,,,D16,,,,,,,,,1,1,,13.4,5.1,5.6,,635.0,2.0,10,10,1,6,2.0,0,1,1,,245000.0,2.0,2.0,,,,30.0,39.0,31.0,hdb,
66,Now,,,D10,North South,,Unfurnished,,,,,,13,1,29.0,18.5,4.9,3.4,https://www.99.co/singapore/condos-apartments/glentrees,3.0,4.0,10,10,1,3,,0,1,1,,3900000.0,1.0,,3412.0,999 Years,176,72.0,26.0,36.0,condo,14
67,Now,,,D20,South,,,,,,,,22,1,,16.666666666666668,5.1,6.2,https://www.99.co/singapore/condos-apartments/the-panorama,2.0,2.0,10,10,0,3,1.0,1,1,0,,1260000.0,2.0,2.0,797.0,99 Years,698,68.0,35.0,40.0,condo,0
68,15 Jul 2019,,,D19,North East,,,,,,,,27,1,9.0,,3.6,5.333333333333333,https://www.99.co/singapore/condos-apartments/botanique-at-bartley,1.0,1.0,10,10,2,0,2.0,0,1,0,,780000.0,,2.0,495.0,99 Years,797,47.0,32.0,30.0,condo,0
69,Now,,,D25,,,,,,,,,3,1,,13.0,4.4,4.3,,2.0,5.0,10,10,1,3,,0,1,0,,730000.0,2.0,2.0,1905.0,,,65.0,47.0,52.0,hdb,
70,Now,,,D18,,,,,,,,,9,1,,17.0,5.166666666666667,7.0,https://www.99.co/singapore/condos-apartments/waterview,2.0,2.0,10,10,0,1,,1,1,0,,798000.0,,2.0,786.0,99 Years,696,36.0,38.0,43.0,condo,5
71,15 Jul 2019,,,D18,,Mid,,,,,,,20,1,,14.5,3.6666666666666665,6.4,https://www.99.co/singapore/condos-apartments/arc-at-tampines,2.0,3.0,10,10,0,2,,0,1,0,,1200000.0,,3.0,1076.0,99 Years,574,35.0,38.0,42.0,condo,5
72,Now,,,D16,North,,,,,,,,12,1,,10.0,4.4,8.125,https://www.99.co/singapore/condos-apartments/waterfront-gold,2.0,2.0,10,10,0,4,1.0,1,1,0,,1050000.0,2.0,2.0,893.0,99 Years,361,35.0,39.0,40.0,condo,5
73,,,,D19,,,Partially Furnished,,,,,,10,0,,,,,https://www.99.co/singapore/condos-apartments/the-gazania,3.0,4.0,0,0,0,0,,0,0,0,,2499999.0,,,1281.0,Freehold,250,50.0,31.0,29.0,condo,-3
74,Now,,,D03,,,,,,,,,4,1,17.0,14.0,6.1,5.5,,1.0,3.0,10,10,3,3,,1,1,0,,320000.0,1.0,1.0,742.0,,,70.0,25.0,22.0,hdb,
75,,,,D11,,,Partially Furnished,,,,,,9,1,10.0,17.5,4.3,2.9,https://www.99.co/singapore/condos-apartments/thomson-euroasia,2.0,3.0,10,10,2,5,2.0,0,1,1,,2400000.0,2.0,1.0,1130.0,Freehold,136,61.0,14.0,19.0,condo,17
76,Now,,,D09,,,,,,,,,17,1,10.0,12.666666666666666,4.7,2.4,https://www.99.co/singapore/condos-apartments/visioncrest,2.0,2.0,10,10,3,4,1.0,1,1,1,,2050000.0,2.0,,915.0,Freehold,265,49.0,13.0,13.0,condo,12
77,Now,,,D14,North East,,,,,,,,13,1,11.0,13.0,4.8,4.7,https://www.99.co/singapore/condos-apartments/the-lenox,2.0,2.0,10,10,2,2,1.0,0,1,0,,1350000.0,,,1195.0,Freehold,74,37.0,32.0,24.0,condo,7
78,Now,,,D15,North,,,,,,,,19,0,,,,,https://www.99.co/singapore/condos-apartments/olloi,2.0,3.0,0,0,0,0,,0,0,0,,1890000.0,,,1184.0,Freehold,34,42.0,36.0,28.0,condo,-3
79,Now,,,D19,,,,,,,,,8,1,12.6,11.666666666666666,5.6,6.166666666666667,https://www.99.co/singapore/condos-apartments/watertown,1195.0,3.0,10,10,8,5,,1,1,0,,1700000.0,4.0,2.0,,99 Years,992,45.0,37.0,36.0,condo,2
80,Now,,,D19,North East,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/riverfront-residences,1.0,2.0,0,0,0,0,,0,0,0,,774000.0,,,603.0,99 Years,1478,54.0,43.0,42.0,condo,-5
81,,,,D19,,,Fully Furnished,,,,,,12,1,11.0,12.0,3.9,5.4,https://www.99.co/singapore/condos-apartments/casa-cambio,1.0,2.0,10,10,1,5,,0,1,1,,1030000.0,,3.0,650.0,Freehold,198,51.0,31.0,31.0,condo,4
82,Now,,,D25,,,,,,,,,3,1,11.0,10.333333333333334,4.4,5.6,,3.0,5.0,10,10,2,5,,0,1,1,,680000.0,3.0,3.0,1980.0,,,67.0,36.0,52.0,hdb,
83,Now,,,D19,,,,,,,,,29,1,14.5,16.0,4.0,,https://www.99.co/singapore/condos-apartments/riversails,2.0,3.0,10,10,2,3,1.0,1,1,0,,1050000.0,3.0,2.0,946.0,99 Years,921,51.0,43.0,43.0,condo,2
84,Now,,,D23,,,,,,,,,13,1,10.0,12.0,4.2,3.3,https://www.99.co/singapore/condos-apartments/the-madeira,3.0,3.0,10,10,2,4,,1,1,1,,1180000.0,3.0,2.0,1270.0,99 Years,456,77.0,42.0,39.0,condo,16
85,Now,,,D23,,,,,,,,,12,1,12.75,14.333333333333334,5.5,5.0,https://www.99.co/singapore/condos-apartments/cashew-heights-condominium,2.0,3.0,10,10,5,3,3.0,0,1,0,,1700000.0,2.0,1.0,1200.0,999 Years,596,79.0,37.0,44.0,condo,27
86,30 Sep 2022,,,D11,,,,,,,,,1,0,,,,,https://www.99.co/singapore/condos-apartments/dunearn-386,1.0,2.0,0,0,0,0,,0,0,0,,1500000.0,,,560.0,Freehold,,61.0,21.0,26.0,condo,
87,Now,,,D12,North East,13,,,,,S$2000,31 Mar 2020,15,1,,15.333333333333334,4.6,4.1,https://www.99.co/singapore/condos-apartments/okio,1.0,1.0,10,10,0,5,3.0,0,1,1,,738888.0,,1.0,420.0,Freehold,104,62.0,18.0,26.0,condo,4
88,Now,,,D28,South,,,,,,S$2200,28 Jun 2018,21,1,19.0,17.5,5.333333333333333,3.0,https://www.99.co/singapore/condos-apartments/seletar-park-residence,2.0,2.0,10,10,1,3,,0,1,0,,1000000.0,2.0,,840.0,99 Years,276,53.0,47.0,48.0,condo,4
89,Now,,,D02,South,12,,,,,S$3300,05 Aug 2018,23,1,14.5,17.333333333333332,4.1,4.9,https://www.99.co/singapore/condos-apartments/spottiswoode-suites,2.0,2.0,10,10,2,3,,1,1,1,,1500000.0,1.0,,667.0,Freehold,183,63.0,23.0,19.0,condo,2
90,Now,,,D22,,,,,,,,,1,1,15.0,15.0,4.8,3.6,,2.0,3.0,10,10,1,4,,0,1,1,,340000.0,2.0,5.0,1119.0,,,90.0,43.0,45.0,hdb,
91,,,,D15,North East,,,3 Storey Mixed Landed,,,,,3,0,,,,,,9.0,4.0,0,0,0,0,,0,0,0,,7700000.0,,,5335.0,,,,,,landed,
92,Now,,,D15,North South,,,,,,,,14,1,17.0,24.0,4.375,7.0,https://www.99.co/singapore/condos-apartments/the-line-tanjong-rhu,2.0,3.0,10,4,1,1,1.0,0,1,0,,2058000.0,,1.0,1055.0,Freehold,130,51.0,34.0,27.0,condo,3
93,Now,For Reno / A&A,,D15,North West,,,3 Storey Mixed Landed,,,,,8,0,,,,,,4.0,4.0,0,0,0,0,,0,0,0,,2860000.0,,,1918.0,,,,,,landed,
94,,,,D19,,,,,,,,,1,1,11.5,10.0,4.1,5.0,https://www.99.co/singapore/hdb/312a-anchorvale-lane-adph7vStyZAiE3GvF7FjAqoM,2.0,3.0,10,10,5,1,1.0,1,1,1,,410000.0,3.0,1.0,1194.0,99 Years,,52.0,42.0,42.0,hdb,17
95,Now,,,D28,North,,,3 Storey Mixed Landed,24 Apr 2019,No,,,2,0,,,,,https://www.99.co/singapore/landed/belgravia-green-deekHdQPksFhi3PZBDaBufii,4.0,5.0,0,0,0,0,,0,0,0,,2700000.0,,,3132.0,Freehold,81,54.0,40.0,46.0,landed,-4
96,Now,,,D04,,,Partially Furnished,,,,,,11,1,,13.0,5.5,,https://www.99.co/singapore/condos-apartments/reflections-at-keppel-bay,2.0,2.0,10,10,1,1,,0,1,0,,1866545.0,,,1324.0,99 Years,1129,71.0,33.0,26.0,condo,8
97,Now,,,D19,South,,Partially Furnished,,,,,,21,0,,,,,https://www.99.co/singapore/condos-apartments/the-florence-residences,1.0,2.0,0,0,0,0,,0,0,0,,863000.0,,,624.0,99 Years,1410,54.0,40.0,40.0,condo,-4
98,Now,,,D27,,,,,,,,,14,1,,17.666666666666668,4.5,4.0,https://www.99.co/singapore/condos-apartments/yishun-emerald,1001.0,2.0,10,10,0,4,1.0,0,1,0,,850000.0,3.0,1.0,,99 Years,436,59.0,43.0,49.0,condo,17
99,30 Jun 2022,,,D21,East,,,,,,,,10,0,,,,,https://www.99.co/singapore/condos-apartments/daintree-residence,1.0,2.0,0,0,0,0,,0,0,0,,1102000.0,,,667.0,99 Years,327,75.0,35.0,40.0,condo,-3
100,Now,,,D05,,,,,,,,,9,1,,16.5,4.0,7.0,https://www.99.co/singapore/condos-apartments/seahill,3.0,4.0,10,10,0,3,1.0,1,1,1,,3980000.0,,1.0,3477.0,99 Years,338,89.0,45.0,42.0,condo,3
101,31 Dec 2027,,,D05,North South,,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/kent-ridge-hill-residences,3.0,5.0,0,0,0,0,,0,0,0,,2820000.0,,,2067.0,99 Years,548,83.0,43.0,38.0,condo,-5
102,26 Jul 2023,,,D15,,,,,,,,,11,0,,,,,https://www.99.co/singapore/condos-apartments/one-meyer,3.0,3.0,0,0,0,0,,0,0,0,,2479000.0,,,1033.0,Freehold,65,50.0,33.0,26.0,condo,-4
103,Now,,,D25,North East,,,,,,,,14,1,13.0,14.0,4.1,4.777777777777778,https://www.99.co/singapore/condos-apartments/rosewood,3.0,3.0,10,10,1,5,1.0,0,1,1,1.0,900000.0,5.0,2.0,1184.0,99 Years,437,52.0,48.0,56.0,condo,16
