,Availability,Condition,Cost of Renovation,District,Facing,Floor,Furnishing,Landed House Area Zoning,Last Renovated Date,Re-wiring/Structural Renovation,Tenancy Current Rent,Tenancy Lease Expiry,ammenities,atm_nearby,average_transit_duration_to_subway,average_transit_duration_to_supermarket,average_walking_duration_to_bus_station,average_walking_duration_to_clinic,link,num_baths,num_beds,num_bus_stations_nearby,num_clinics_nearby,num_subways_nearby,num_supermarkets_nearby,others,park_nearby,post_box_nearby,post_office_nearby,pre-tertiary,price,primary,secondary,sqft,tenure,total_units,transit_duration_to_changi_airport,transit_duration_to_orchard_road,transit_duration_to_raffles_place,type,year_since_completion
4973,Now,,,D13,,,,,,,,,24,0,,,,,https://www.99.co/singapore/condos-apartments/the-tre-ver,3.0,4.0,0,0,0,0,,0,0,0,,1930000.0,,,1335.0,99 Years,729,73.0,31.0,37.0,condo,-3
4974,Now,,,D18,,,,,,,,,12,1,,17.0,5.166666666666667,7.0,https://www.99.co/singapore/condos-apartments/waterview,2.0,2.0,10,10,0,1,,1,1,0,,815000.0,,2.0,786.0,99 Years,696,36.0,38.0,43.0,condo,5
4975,Now,,,D19,,,,,,,,31 Jan 2020,5,1,18.0,17.0,5.0,4.8,https://www.99.co/singapore/condos-apartments/the-promenade-pelikat,1.0,1.0,10,10,1,2,2.0,0,1,1,,680000.0,1.0,1.0,474.0,Freehold,164,46.0,41.0,41.0,condo,3
4976,Now,,,D14,,,,,,,,,1,1,19.0,13.0,6.0,4.2,,1270.0,3.0,10,10,2,3,2.0,0,1,1,,620000.0,2.0,1.0,,,,55.0,38.0,29.0,hdb,
4977,Now,,,D14,,,Fully Furnished,,,,,,1,1,16.0,17.857142857142858,4.555555555555555,5.75,https://www.99.co/singapore/condos-apartments/loft-33,3.0,3.0,10,10,4,8,4.0,0,1,1,,1450000.0,,1.0,1238.0,Freehold,30,51.0,33.0,24.0,condo,1
4978,Now,,,D14,North East,,,,,,,,21,1,,15.333333333333334,4.2,5.25,https://www.99.co/singapore/condos-apartments/sims-urban-oasis,1.0,1.0,10,10,1,3,2.0,0,1,1,,800000.0,2.0,,463.0,99 Years,1024,47.0,28.0,20.0,condo,1
4979,Now,,,D20,,,,,,,,,5,1,,25.0,4.714285714285714,5.444444444444445,https://www.99.co/singapore/hdb/472-ang-mo-kio-avenue-10-adZHemjXYTQiUdjkBmYB7sqU,2.0,3.0,10,10,0,1,1.0,0,1,1,,408000.0,3.0,2.0,990.0,99 Years,,69.0,34.0,39.0,hdb,40
4980,01 Oct 2019,,,,East,,,,,,S$2300,30 Sep 2019,20,1,12.0,18.5,5.8,6.0,https://www.99.co/singapore/condos-apartments/the-palette,2.0,2.0,10,10,1,3,,1,1,1,,860000.0,2.0,1.0,732.0,99 Years,892,32.0,49.0,41.0,condo,3
4981,Now,,,D15,North South,,,,,,,,24,1,,,5.125,,https://www.99.co/singapore/condos-apartments/meier-suites,3.0,3.0,10,3,0,0,2.0,0,1,0,,3230000.0,,1.0,1798.0,Freehold,55,48.0,32.0,26.0,condo,7
4982,Now,,,D15,South West,17,,,,,,,4,1,,20.666666666666668,3.9,5.0,https://www.99.co/singapore/condos-apartments/seaside-residences,1.0,1.0,10,10,0,4,1.0,1,1,1,1.0,1082000.0,,,592.0,99 Years,843,26.0,42.0,38.0,condo,-2
4983,01 Oct 2022,,,D15,South East,04,,,,,,,15,0,,,,,https://www.99.co/singapore/condos-apartments/seraya-residences,2.0,3.0,0,0,0,0,,0,0,0,,1750000.0,,,1141.0,-,,48.0,34.0,32.0,condo,
4984,Now,,,D20,,,,,,,,,3,1,15.0,,4.0,3.2,,2.0,2.0,10,10,2,3,2.0,0,1,1,,400000.0,3.0,3.0,688.0,,,62.0,23.0,28.0,hdb,
4985,,,,D08,,,Unfurnished,,,,,,5,1,12.0,17.5,5.714285714285714,3.8,https://www.99.co/singapore/condos-apartments/city-studios,1.0,3.0,10,10,3,6,,0,1,1,,970000.0,2.0,,755.0,Freehold,28,51.0,19.0,19.0,condo,9
4986,Now,,,D12,North South,09,,,,,,,10,1,20.0,17.0,4.1,4.5,https://www.99.co/singapore/condos-apartments/neem-tree,1.0,1.0,10,10,1,7,1.0,1,1,1,,971335.0,1.0,1.0,505.0,Freehold,84,66.0,23.0,31.0,condo,-1
4987,Now,,,D13,,,,,,,,,3,1,18.5,,7.142857142857143,6.666666666666667,https://www.99.co/singapore/hdb/18-joo-seng-road-adQuiVqnnPn7AbWZMK7xezDZ,2.0,3.0,10,10,2,0,1.0,0,1,0,,400000.0,1.0,2.0,1109.0,99 Years,,60.0,38.0,35.0,hdb,35
4988,,,,D22,,,,,,,,,0,1,14.0,,3.9,5.5,,2.0,3.0,10,10,1,2,,0,1,0,,360000.0,1.0,2.0,1109.0,,,96.0,54.0,49.0,hdb,
4989,Now,,S$400000,D17,South West,,,3 Storey Mixed Landed,06 Jun 2012,Yes,,,6,1,,,3.9,5.857142857142857,https://www.99.co/singapore/landed/loyang-villas-dewqKGTND6X355XagEcXmeWX,4.0,5.0,10,10,0,1,,0,1,0,,2180000.0,1.0,2.0,2464.0,99 Years,423,26.0,50.0,46.0,landed,23
4990,Now,,,D28,North South,,,,,,,,25,1,8.333333333333334,10.5,4.888888888888889,5.333333333333333,https://www.99.co/singapore/condos-apartments/parc-botannia,2.0,3.0,10,10,4,2,,0,1,0,,1107000.0,2.0,1.0,861.0,99 Years,735,47.0,43.0,42.0,condo,-2
4991,Now,,,D23,North South,,,,,,,,4,1,9.0,12.0,3.6,3.2,,4.0,4.0,10,10,2,3,1.0,1,1,1,,400000.0,3.0,1.0,1474.0,,,73.0,34.0,42.0,hdb,
4992,Now,,,D15,North East,,Unfurnished,,,,,,12,1,22.0,18.0,4.4,5.8,https://www.99.co/singapore/condos-apartments/the-cristallo,1.0,2.0,10,10,1,1,4.0,0,1,0,,1030000.0,,,797.0,Freehold,74,44.0,44.0,37.0,condo,4
4993,Now,,,D18,North,,,,,,,,2,1,12.0,12.666666666666666,5.111111111111111,4.2,https://www.99.co/singapore/hdb/408-tampines-street-41-adjRgEFd7NbLgYzcGmvpzqA5,1.0,2.0,10,10,1,6,,1,1,1,,300000.0,2.0,2.0,646.0,99 Years,,28.0,49.0,41.0,hdb,34
4994,,,,D21,,,Partially Furnished,,,,,,5,1,12.0,13.0,4.6,7.0,https://www.99.co/singapore/condos-apartments/the-hillford,1.0,2.0,10,10,1,1,,1,1,1,,689000.0,1.0,,538.0,60 Years,281,75.0,35.0,44.0,condo,2
4995,Now,,,D28,,,Fully Furnished,,,,,,6,1,10.5,21.0,4.8,4.6,https://www.99.co/singapore/hdb/452a-sengkang-west-way-adaKwz2ptKseL9NBGHzAUECg,2.0,3.0,10,10,4,3,,0,1,0,,533000.0,2.0,1.0,1305.0,99 Years,,48.0,44.0,43.0,hdb,
4996,Now,,,D9,,,,,,,,,10,0,,,,,https://www.99.co/singapore/condos-apartments/haus-on-handy,1.0,1.0,0,0,0,0,,0,0,0,,1286400.0,,,463.0,99 Years,188,48.0,11.0,10.0,condo,-4
4997,Now,,,D23,,,,,,,,,4,1,15.0,18.0,5.0,4.25,https://www.99.co/singapore/hdb/390-bukit-batok-west-avenue-5-adTMmBBxFpDbsBjcsz4nUKKF,2.0,3.0,10,10,1,2,,1,1,0,,599000.0,2.0,1.0,1270.0,99 Years,,85.0,38.0,49.0,hdb,15
4998,Now,,,D11,,,,,,,,31 Mar 2019,19,1,12.0,13.0,4.6,6.444444444444445,https://www.99.co/singapore/condos-apartments/setia-residences,5.0,4.0,10,10,2,4,4.0,0,1,1,,6300000.0,,,3348.0,Freehold,24,57.0,14.0,19.0,condo,15
4999,01 Oct 2022,,,D15,South,,,,,,,,11,0,,,,,https://www.99.co/singapore/condos-apartments/nyon,721.0,2.0,0,0,0,0,,0,0,0,,1622000.0,,,,Freehold,92,36.0,33.0,30.0,condo,-3
